date,close,open,high,low,volume,gas,oil,coal,power,stock,trends,pos,neg
2021/5/7,1.02625728,1.233355598,1.228924078,0.401606965,-23.05236586,-1.652126985,0.278653843,1.158196427,-1.549859821,1.027706752,35,0.96,0.538
2021/5/10,3.45427493,1.802556643,3.186380414,3.156080491,5.566084711,4.502676285,0.058565155,1.563471415,1.011934909,0.024934547,38,0.153,0
2021/5/11,1.56209067,1.694303141,1.287451312,0.77369825,29.56123281,2.421649919,0.336085653,1.186253531,-1.102786192,-2.243885901,42,1.191,0.691
2021/5/12,4.205372862,2.78632483,3.730078565,3.204369333,58.69964634,1.722357126,1.117005884,1.230604455,3.97379678,0.356325142,36,0.493,0.042
2021/5/13,-1.460933189,2.746922393,-0.969138956,0.446844907,-57.05448585,0.239377732,-3.329485512,-0.174876174,0.226856393,0.101574412,18,0.447,0.358
2021/5/14,3.90180428,0.018061953,3.595534741,2.585639597,28.59322907,2.639687292,2.445613932,-0.350672481,-0.471740195,1.661251393,34,0.352,0.248
2021/5/17,-0.455342293,2.936415265,-0.19155426,1.366436219,11.56402473,-2.177517256,1.085629827,-1.059456643,-0.561996562,-0.149887612,36,0.249,0.11
2021/5/18,-5.83672103,-1.004679289,-0.401712181,-5.355148127,-17.88952958,-6.181527533,-1.085629827,0.118273225,0,0.12492194,42,0.412,0.1
2021/5/19,-6.515898402,-6.457395135,-6.395532873,-7.387612842,93.11058177,-9.052733208,-3.028967616,-0.711746777,-6.493780244,-1.890415464,43,0.213,0.068
2021/5/20,5.899937519,-4.384210855,-0.242831912,2.582984726,-48.06483188,7.922957487,-2.352692563,0.888894742,-1.039019454,1.389788636,40,0.15,0.115
2021/5/21,-1.851904777,4.062454166,1.613985504,2.247724845,-39.59975818,0.399265882,2.02211375,0.529568757,0.45471848,0.799804313,34,0.302,0.405
2021/5/24,1.851904777,-1.048127747,-1.539205167,-0.65930043,-79.34166337,-0.559419664,2.995034836,0.351494211,0.865806274,0.645163528,24,0,0
2021/5/25,0.783293822,3.037682861,1.410303575,2.744103872,48.06885293,5.836870143,0.277149911,0.29197101,0.784024923,-0.173288817,28,0.324,0.14
2021/5/26,0.72189115,0.592923731,1.753469584,0.697918517,5.406722127,0.301932597,0.319953734,-0.116686128,1.127866259,-0.198412764,31,0.36,0.484
2021/5/27,-3.433411065,-1.00260773,-1.993299973,-3.092439589,-72.80750616,-5.372393112,0.853037776,0.116686128,-0.682596507,0.247954503,23,0.233,0
2021/5/28,-1.558173297,-2.570544106,-2.316994532,-1.563142418,38.79347787,-3.545494791,0.244446164,0,18.36473467,0.691019532,28,0.705,0.449
2021/5/31,1.271448451,0.286779663,-0.911514097,2.143078317,63.86332715,3.748088858,-0.446204411,8.331163565,1.183083271,-0.765341348,25,0.237,0.124
2021/6/1,1.387723059,0.741800834,2.412480362,0.84453477,-159.9302691,1.218781726,1.332684337,2.751496329,0.391270989,0.863669773,20,0.185,0
2021/6/2,-1.963650932,-0.474879798,-2.164790419,-1.696262722,119.4686119,-1.803846379,1.553703571,0.624351664,-1.358903269,0.343390085,35,0.695,0.219
2021/6/3,-2.357175466,0.626366288,1.135300746,-1.527943536,17.03760223,0.079802095,-0.056077388,4.165152588,-0.153846184,0.048959609,31,0.451,0.389
2021/6/4,-0.513835123,-4.330852709,-2.283638724,-1.712166054,-71.48400052,0.047850707,0.810060296,0.743497849,-0.571297779,0.073394499,30,0.44,0.202
2021/6/7,2.928752867,-1.553197293,1.053145205,0.060222826,-225.1291799,2.736880483,-0.557959322,4.584638813,4.021481115,0.244260014,32,0,0.205
2021/6/8,1.166919028,4.895260809,1.136375865,4.397175488,282.5833237,4.9787118,1.015943607,-0.236127619,1.505785758,0,35,0.161,0.12
2021/6/9,2.479465861,1.272209317,2.78569545,1.411159954,-35.49128289,2.262374825,0,2.336554896,-0.190657827,0.024393219,34,1.264,0.35
2021/6/10,0.462749553,1.163021926,-0.495732219,0.453429834,-53.09804257,1.418666768,0.414537004,1.603699891,1.61634389,-0.073197515,25,0,0.137
2021/6/11,-2.014617661,0.61355589,-0.239565212,-0.472367435,33.73273029,-3.887928027,0.234143761,0,-1.645708153,0.729575221,24,0.752,0.54
2021/6/14,0.413689947,-0.968530573,0.294768084,0.264800609,-49.94940578,3.816758712,0.233596808,-0.913248356,2.135622678,0.242013671,29,0.594,0.283
2021/6/15,-2.913104612,-0.789181097,-2.514801428,-2.893753701,131.7049949,-1.955490061,1.539015736,-0.92166551,-1.331230772,0.193190111,28,0.378,0
2021/6/16,-0.077309629,-2.116178483,-0.586511945,-0.545916739,-56.24499892,-0.670165678,0.539157527,0,1.07216327,0.192817606,22,0.327,0.517
2021/6/17,-0.854374129,-1.10434136,-1.81910234,-0.765384955,-44.77368285,0.684684735,-1.776679269,-0.185356865,-0.781253974,0.120322479,22,0.188,0.241
2021/6/18,1.893044748,0.718240494,1.267298067,1.660680931,-20.00951559,4.193635597,0.586671988,-0.046392949,2.792877553,-0.024052917,15,0.614,0.265
2021/6/21,0.990107098,0.88581361,1.702651802,0.733594023,78.96074467,0.983591777,1.873243914,-0.698489452,1.708485752,-1.527117303,32,0,0
2021/6/22,1.839736514,2.030622957,0.933539267,2.225484145,21.39056103,3.268309069,-0.120232464,0.233372335,1.666131485,0.438704091,25,0.17,0
2021/6/23,2.334879486,1.417669705,2.550362978,1.34531177,45.45130375,2.568465196,0.506667751,0.696866932,0.408831314,-1.075804997,33,0.587,0.762
2021/6/24,0.832433327,1.580334249,0.95556483,1.437282896,-17.14821362,2.453401585,0.490879924,0.231213976,0.6371607,1.002821171,39,0.601,0.064
2021/6/25,-0.018022889,1.483921547,0.768615814,1.164072803,34.29447511,1.348561618,0.817191842,0.23068061,0.350735554,0,23,1.023,0.451
2021/6/28,0.754178471,0.394407109,0.266737955,-0.453104536,-25.59333741,-0.35114157,-1.988664238,4.19641991,-0.364249981,-0.806357454,29,0,0.167
2021/6/29,0.250134131,-0.250806294,0.460667009,1.012117803,-96.80902272,3.92931883,0.107066391,1.66524444,0.12156414,0.538293446,31,0.959,0.232
2021/6/30,1.311842958,0.089645905,0.809863581,0.017980761,75.84765282,3.652724353,0.493696379,4.835547605,13.93862497,-1.030178353,33,0.351,0.148
2021/7/1,2.229280755,2.285510059,3.395999874,2.485923468,-31.84537311,4.229755609,0.940591157,1.234583582,4.241771458,0.197044399,30,0.29,0.406
2021/7/2,-0.518046401,2.285813808,-0.390592328,0.942579853,-96.64405156,-0.71700957,0.434182644,1.098241667,-0.439908216,0.098376791,24,0.559,0.31
2021/7/5,0.896248674,-0.669932936,-0.136216605,0.709775333,-62.41543091,4.700030586,1.291350365,2.910311041,-1.589550631,0.245519397,25,0.063,0
2021/7/6,-6.815980354,0.926409096,-0.187601317,-9.568975848,157.1389845,-10.96367319,-3.467945914,-2.748629518,-0.535515056,-1.109615626,34,0.49,0
2021/7/7,-2.624138663,-8.23649603,-5.635541056,0.416746199,-27.57498519,-5.297054409,-1.486915743,0.684244972,-0.532593594,0.790322711,38,0.763,0.498
2021/7/8,-0.491494373,-1.532167491,-3.248886276,-3.032279912,23.90743734,3.619182951,0.935282995,0.67959486,-1.827604758,-2.11319237,30,0.11,0.174
2021/7/9,3.537226549,0.825056246,2.323541743,3.785579142,3.111990871,9.148502338,1.91092873,1.030528343,0.035463089,1.792876709,26,0.908,0.591
2021/7/12,-4.776636065,1.243404718,-1.173464144,-2.565461363,-55.06035952,-6.056213765,-0.517551417,-0.118366556,1.536416782,0.9089855,32,0,0
2021/7/13,2.163682813,-3.892566262,-0.963684256,-0.482393603,0.96154587,2.747233649,1.754083879,3.453301432,-0.888479074,-0.195838496,35,0.536,0.064
2021/7/14,0.971607045,1.257638527,3.979353287,0.674701355,15.48339733,-2.088485237,-2.287703075,0.494579665,-0.105739304,0.269179167,53,0.616,0.116
2021/7/15,-0.765286049,-0.018937601,-3.607605647,0.479157601,6.351340572,-2.565156679,-1.740582296,0.189573516,-0.648625424,-1.130510934,36,0.733,0.393
2021/7/16,-0.168776411,1.485129279,0.148312967,0.837780985,14.64286337,2.787678291,0.163198731,0.453515517,0.883450001,-0.59494474,34,0.456,0.8
2021/7/19,-0.886045951,-1.107056995,0.683100598,-0.64675896,25.13144283,3.336326925,-6.992510951,0.376364765,1.455290833,-2.696396191,46,0.414,0
2021/7/20,-2.337271146,-0.529702336,-2.874404685,-2.963323249,-37.8694867,-0.829408834,1.058210933,-0.754151387,-1.596119398,0.890024947,51,0.242,0.109
2021/7/21,1.767577239,-1.721871506,-0.303432814,0.841739334,77.11558907,2.28961674,4.06893253,0.377786622,-0.270477027,1.731753655,32,0.346,0.441
2021/7/22,-2.604565094,0.423647851,-0.133041928,-1.650980896,-31.30147968,0,2.136774901,-0.529301803,-0.626072567,0.768376565,31,0.145,0.128
2021/7/23,0.195274423,-3.202147857,-2.445015435,-0.178518346,26.29148747,-1.392342277,0.419231123,0.30280114,-0.320456034,1.373243748,30,0.575,0.586
2021/7/26,4.407848896,1.379332213,4.571353896,1.164525151,-133.0972495,5.01676045,0.538359308,-0.151285959,-2.381924231,-0.292683136,31,0,0
2021/7/27,-0.542818366,5.519954935,0.649533693,4.301738508,50.66502524,2.96663349,-0.026849242,0.377786622,0.340301738,-0.833951363,26,0.158,0.168
2021/7/28,1.711988221,-0.855500847,0.865646809,0.637064174,-68.06730063,5.167426367,0.348479109,0.225988797,0.25446848,0.907202495,24,0.518,0.575
2021/7/29,0.386705205,1.630269526,0.292986842,-0.056048577,44.59564695,3.631099256,1.737559465,0,-0.899592743,0.389769068,23,0.44,0.118
2021/7/30,-1.332119606,-0.497375991,-0.826223373,-0.581015598,-33.64722366,-0.815939252,0.367502711,0,-0.637022857,-0.609683635,22,0.816,0.882
2021/8/2,2.028093112,-1.263722449,2.404487425,0.487531436,39.80301296,3.438978588,-4.611459042,4.990030054,3.311881127,0.633993833,22,0,0
2021/8/3,-0.438998327,2.365661974,-0.144092244,1.779802264,-51.58131653,-2.632600023,-0.660704399,0.250223544,0.840589807,-0.024310198,30,0.749,0.104
2021/8/4,2.301451583,0.237161472,0.807831339,0.238597892,-0.836824967,2.20329465,-2.843527951,0.746935715,-0.425331454,0.605989008,30,0.794,0.082
2021/8/5,0.927253434,1.930945134,0.978568435,0.912415089,44.66231806,1.522212426,1.284693324,0.741397924,-1.16709673,0.458108095,20,0.833,0.525
2021/8/6,1.199732104,1.208044537,1.441403054,2.67064891,-1.626052087,-0.48014866,-0.831049223,1.22357758,1.616004749,0.336215494,17,0.905,0
2021/8/9,-0.070175441,0.475646101,0.695654979,-0.514231118,15.64898622,-0.705928995,-2.375952613,1.277421134,-1.915926994,0.14374703,22,0,0
2021/8/10,1.376928072,0.961966316,0.380557456,1.254322602,-20.11900411,3.903068191,2.276893665,0.171379648,0.813693612,0.215233851,22,0.715,0.489
2021/8/11,0.638428534,-0.139348568,1.047669523,-1.094450466,30.74846997,2.57524961,1.140295315,1.089929046,0.534855973,0.357696816,25,0.51,0.182
2021/8/12,-2.631501501,1.074906327,-0.222355347,-0.07102273,-21.47753016,-0.604655043,-0.182136653,1.612938193,-0.261127745,0.545995422,24,0.189,0.453
2021/8/13,-1.584085807,-2.196741055,-2.90127185,-1.287111083,-24.02155352,-2.564014759,-1.014807863,-0.200200267,-0.095124859,0.047337279,22,0.468,0.367
2021/8/16,4.86705541,-2.192015059,3.243152524,-0.216138413,-49.54912598,7.108884876,-1.541786429,1.425990007,0.522070479,-0.736257927,26,0.067,0.073
2021/8/17,-1.654069413,4.887596057,-0.034135518,3.385947843,131.00939,-2.044956926,-0.69294344,-1.292478638,-0.545865839,-0.047687173,27,0.132,0.126
2021/8/18,-0.191287772,-1.486630663,-0.359128218,-2.900291703,-8.887928947,-4.41673468,-1.165684189,0.033350009,-0.095238102,-0.167084416,22,0.39,0.298
2021/8/19,-6.489831896,-0.209205097,-1.85014355,-5.287169241,117.5692031,-11.24438515,-2.643456567,-2.738044967,-2.74088996,-1.613520857,19,0,0.163
2021/8/20,1.621258798,-5.876117586,-3.733767044,1.799823612,-89.52476261,4.910521952,-1.929711175,-0.964194798,-0.171526629,0.532688911,21,0.257,0.192
2021/8/23,1.721212888,2.73839674,2.416224928,2.64041742,31.33781382,-1.490627206,5.332406314,2.629483918,-1.208995728,0.937394197,28,0,0
2021/8/24,2.30834113,0.985582747,1.107898433,0.954532236,-63.63821578,7.54635107,3.2907118,0.101061151,0.519931847,-0.119688823,17,0.172,0.083
2021/8/25,-0.175685217,1.592108634,0.41884878,0.714416327,-21.56466399,1.807465846,1.674847245,0.268998145,0.885070314,0.047892721,26,0.244,0
2021/8/26,0.561109661,-0.58083416,0.763362486,-0.392297222,-60.19950109,1.549739898,-1.646702015,0.067136626,-0.503037684,-0.215698106,24,0.226,0.118
2021/8/27,3.656745934,2.078859038,4.047627282,3.286474495,177.6491997,4.974126524,2.26760777,-0.033562679,0.551979322,0.430931957,26,0.061,0.296
2021/8/30,2.923796308,4.181734961,1.711412513,3.916086457,-59.78370008,4.0937719,0.971878158,0.067114096,1.155379225,0.286259737,25,0,0
2021/8/31,-0.016373312,0.413668167,-0.065284807,0.182709128,-32.8115642,1.328176854,-0.573772066,3.104608656,18.46364891,-0.381862039,20,0.298,0.061
2021/9/1,-1.070057128,0.953170733,1.506955521,-0.432397148,88.93950471,0.031316058,-1.936704606,1.612938193,2.560679809,0.99929454,25,0.387,0.073
2021/9/2,2.306850761,-0.854144483,-0.241526565,-0.183501595,-136.5240952,3.27266935,1.991491622,3.737285306,5.407237869,0.212841513,35,0.694,0.179
2021/9/3,-0.32399186,1.749697159,1.154043903,2.555154256,56.25875583,-1.1811911,-0.576766224,1.802401016,1.337103235,-0.806455984,30,0.507,0.062
